"Categoria","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Mato Grosso","287779636.65919745","302165920.32556105","406074444.88111115","383953295.1754765","537785067.5407261","630570894.460206","522116281.2905485","512882772.21181846","514708313.71836364","558495082.2479265","438346560.9464866","464356666.77716315","592773526.4472506","825182327.5785103","750623815.7254125","571148454.959721","353030691.74928325","265846708.51569027","275698543.04042065","168275347.76336086","168866651.52304512","203944547.07914764","196153781.39070213","242868762.2664952","219084690.66117","243025548.57144994","210401706.63559857","216462756.4657385","223736743.18193865","283856483.4882643","243783075.86855796","277529845.1487118","401946215.04935765"
"Pará","338261383.82687294","330531016.0672063","426141652.30385154","358213137.4306875","393408835.8938567","526420304.56592506","436990173.1388708","528930641.12001455","452895516.9470602","378231244.0310389","417131114.6875607","545463265.9276062","507670484.58890957","594686181.9389738","629989129.4206367","506962126.05341053","474028304.9245724","413815468.3770341","406831419.61845714","286593317.5060915","240757545.29882488","219575888.3086279","232010691.7098838","273850274.0713547","258362695.09066883","294507020.65168834","338322413.383791","283153042.27948874","314309100.5741748","427471868.9023668","408343420.91973704","542401230.7444791","361124064.8000538"
"Minas Gerais","160144125.86154595","174374975.23988488","168158543.49390617","162425323.3081327","156496993.11893955","162680114.09741363","154803640.0190233","156770510.65829325","151933481.97127205","160850526.40390188","159019235.85848084","155534044.81867844","164071507.9433728","165980875.58898053","169782070.7049506","170870997.78640085","169896449.297168","167090812.93236595","168408388.33737472","156917599.7471279","165260267.60112748","166301882.94554317","173356213.36962864","178855110.1710958","176279972.40569374","172422349.70685494","166084745.92891353","156627084.5707591","155026868.2711312","156942701.35985819","156698557.67923203","160852593.76422465","169364449.63356915"
"Rondônia","68310168.07224746","114751481.24009442","142074982.45556566","143667719.02592155","183817127.46603185","234206103.12938327","220543076.81387952","155611221.26625556","144989719.55395046","178079575.4030869","158404222.7921917","165245719.2812449","204258688.93182442","290393986.3721669","239508223.5338675","226070676.69421178","154638254.42137575","123722986.45045035","91576865.84345168","61393095.06665623","59122086.01206381","91433926.49936633","81006630.01501313","90417650.04049823","90655714.37608917","117907150.14921606","131196674.47591922","124605706.53470828","114167683.96846628","150392035.39698032","129797003.76601022","152904555.43451592","153895262.10988507"
"São Paulo","120050680.91209222","124426305.5999335","121117518.83226945","123688398.66549197","135963753.56372353","137941041.83093563","138761884.97462368","139069157.1108756","141666851.5301819","144993657.81568065","152169785.49061143","150925783.28762236","148312939.90760353","147304504.0232216","146489121.6404263","143606395.66139245","144258091.50742224","150042815.14930606","151273215.2540084","145793674.14082414","154951003.83011106","163804530.4694514","166433952.26128712","173997812.88433152","167290664.36230174","158682869.93615428","150614162.2756664","154466025.16652837","148710868.0054107","149606333.72665054","143083553.57353905","149223272.67780858","149748720.52125588"
"Rio Grande do Sul","94639429.38050683","103469601.00265807","92245689.71963294","96513391.25809953","95335660.47701384","90215498.60451752","87765173.40380646","93960510.08695833","87778090.16910224","93790990.8593505","103210753.7625291","97602913.51598033","95616561.19375077","104900046.84813488","106234894.80413444","91968616.59565483","91330488.49253958","85868490.1992835","99706960.3350856","95904132.2647727","100728214.29063112","104641329.78743033","105157945.68391661","119374826.93877162","105063692.86519447","105396831.09913282","100739265.6049588","101148373.66368671","97777813.87264287","103291941.6457488","101139638.68359339","112013493.12638082","108060960.62447304"
"Goiás","102721889.89383878","103203127.57627033","109111312.06174538","101621621.24989644","101026379.24660183","102094533.5513759","88871005.21844928","87342181.97068733","83425661.82913157","84958357.044352","87068288.09974596","84420128.10963307","87019816.06216908","91643117.9219451","97035949.25169313","86965307.2473012","79264822.95930043","76148364.81879227","77204050.5715769","77124638.27179775","80459978.86559883","79405734.50809741","83796985.70299757","85791273.5347852","86181199.5983147","87043747.9474722","83405035.03870915","84415493.41345969","83754923.94078465","86304012.35942027","88313185.77048685","89287502.56082042","106576673.65351006"
"Maranhão","135132414.08578098","122211918.40847348","162391991.15705347","130560260.47975044","125499671.46733046","119185588.65667295","118890620.41180564","114319716.92245227","146033021.6249643","106725509.18223023","132800569.78771694","111258717.14822745","109454833.4430316","151142893.7328546","120209478.76045904","124134991.30414088","117212816.8910144","125103547.84521922","114272514.27370195","90336401.24963018","81119397.7312909","84394521.20804977","114844106.9590976","112913710.90802182","97770380.00550538","105132633.90276058","108053133.83244886","91178812.65154389","87523093.11301723","104716393.23741415","112885191.66854395","117888460.29781534","98360006.47172493"
"Bahia","112321558.06983903","116344525.14624144","111544270.91460444","110348375.9670289","104640537.17794462","105353278.81903584","97288772.1758997","88378464.61159466","85333046.13490543","93156646.22072819","96442907.46125768","98869911.22698939","92233295.28745314","89305887.2663384","109606687.8868748","101317583.83806553","90766709.79678361","87827320.74976288","97520554.67044553","94934755.78000568","88142203.19078419","90887129.30260184","107748208.16639431","111080566.33644286","97511451.6613186","89070758.49689662","85246795.04174805","85839847.06537864","91503255.07942115","87007032.04793423","85944303.94700971","90741584.91712047","91368583.12293346"
"Mato Grosso do Sul","152608702.60229126","146274633.21381044","142532457.36625245","135603659.33538702","122055189.5195969","124597745.38608296","110990890.4914993","96970257.65569843","95165560.61489274","93622749.67644759","96479311.48753583","91358997.57812698","93894154.46956159","109417915.62465818","100091787.05215862","92082914.79697257","83002794.51195799","76342954.37660813","73855290.71150696","69803066.56503022","72304898.91898051","67774455.21605045","69549576.60686241","72013475.68904921","73412962.72067232","72567430.24090289","71183829.46067558","71323378.4111604","69337779.01001774","71997378.90614471","75024320.88672635","77273339.29868856","74585425.07900289"
